ID,Tube_Size,Flat,Location,Plot,System,ID,wbcw ,Corn_Earworm,ecb,FAW,Looper,Cantharid_L,Sap_Beetle_L,Cattail_L,Dingy_Cutworm_L,L,Sap_Beetle_A,Western_Corn_Rootworm_A,Hemiptera
26,large,1,323-1,323,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
27,large,1,323-2,323,1,mult larvae,0,0,0,0,0,0,12,0,0,0,0,0,0
28,large,1,323-2,323,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
29,large,1,323-2,323,1,Fall armyworm,0,0,0,1?,0,0,0,0,0,0,0,0,0
30,large,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
31,large,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
32,large,1,323-2,323,1,Corn Earworm,0,1,0,0,0,0,0,0,0,0,0,0,0
33,small,1,323-2,323,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
34,small,1,323-2,323,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
35,small,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
36,small,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
37,small,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
38,small,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
39,small,1,323-2,323,1,Fall armyworm,0,0,0,1,0,0,0,0,0,0,0,0,0
40,small,1,323-2,323,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
41,small,1,323-3,323,1,Hemiptera,0,0,0,0,0,0,0,0,0,0,0,0,1
42,small,1,323-5,323,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
43,small,1,323-5,323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,large,1,323-5,323,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
45,large,1,323-5,323,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
46,small,1,324-3,324,2,Beetle x2 nitid,0,0,0,0,0,0,0,0,0,0,2,0,1
47,small,1,324-3,324,2,Beetle - nitid,0,0,0,0,0,0,0,0,0,0,1,0,0
48,small,1,324-3,324,2,Sap beetle larva,0,0,0,0,0,0,4,0,0,0,0,0,0
49,small,1,324-3,324,2,Corn Earworm,0,1,0,0,0,0,0,0,0,0,0,0,0
50,small,1,324-3,324,2,Nitid. Beetle,0,0,0,0,0,0,0,0,0,0,1,0,0
51,small,1,324-3,324,2,Nitid. Beetle,0,0,0,0,0,0,0,0,0,0,1,0,0
52,small,1,324-3,324,2,Sap beetle larva,0,0,0,0,0,0,2,0,0,0,0,0,0
53,large,1,324-3,324,2,Beetle - nitiduidae,0,0,0,0,0,0,0,0,0,0,2,0,0
54,large,1,324-3,324,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
55,large,1,324-3,324,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
56,large,1,324-3,324,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
57,large,1,324-3,324,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
58,large,1,324-3,324,2,Sap beetle larva,0,0,0,0,0,0,5,0,0,0,0,0,0
59,small,1,324-4,324,2,Sap beetle larva,0,0,0,0,0,0,7,0,0,0,0,0,0
60,small,1,324-4,324,2,Sap beetle larva,0,0,0,0,0,0,3,0,0,0,0,0,0
61,small,1,324-4,324,2,WBCW - pink,1,0,0,0,0,0,0,0,0,0,0,0,0
62,small,1,324-4,324,2,Beetle - nitiduidae,0,0,0,0,0,0,1,0,0,0,0,0,0
63,large,1,324-4,324,2,WBCW - pink,1,0,0,0,0,0,0,0,0,0,0,0,0
64,large,1,324-4,324,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
65,large,1,324-4,324,2,Sap beetle larva,0,0,0,0,0,0,8,0,0,0,0,0,0
66,large,1,324-4,324,2,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
67,large,1,324-4,324,2,Canth larva + nit. larva,0,0,0,0,0,1,0,0,0,0,1,0,0
68,small,1,431-1,431,3,?,0,0,1,0,0,0,0,0,0,0,0,0,0
69,small,1,431-1,431,3,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
70,small,1,431-1,431,3,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
71,large,1,431-1,431,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
72,large,1,431-1,431,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
73,large,1,431-3,431,3,Cattail Caterpillar,0,0,0,0,0,0,0,1,0,0,0,0,0
74,large,1,431-3,431,3,FAW,0,0,0,1,0,0,0,0,0,0,0,0,0
75,small,1,431-3,431,3,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
76,small,1,431-3,431,3,Sap beetle larva,0,0,0,0,0,0,3,0,0,0,0,0,0
77,small,1,431-3,431,3,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
78,large,1,431-4,431,3,0,0,0,0,0,0,0,0,1?,0,0,0,0,0
79,large,1,431-5,431,3,Root worm adult,0,0,0,0,0,0,0,0,0,0,0,1,0
80,small,1,431-5,431,3,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
81,small,1,431-5,431,3,Corn ear worm,0,1,0,0,0,0,0,0,0,0,0,0,0
82,small,1,432-1,432,1,Root worm larva,0,0,0,0,0,0,0,0,0,0,0,2,0
83,small,1,432-1,432,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
84,small,1,432-1,432,1,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
85,small,1,432-1,432,1,misc,0,0,0,0,0,0,0,0,0,1,0,0,0
86,small,1,432-1,432,1,Beetle - nitiduidae,0,0,0,0,0,0,0,0,0,0,1,0,0
87,small,1,432-1,432,1,Sap beetle larva,0,0,0,0,0,0,4,0,0,0,0,0,0
88,small,1,432-1,432,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
89,small,1,432-1,432,1,Sap beetle ,0,0,0,0,0,0,0,0,0,0,1,0,0
90,small,1,432-2,432,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
91,small,1,432-2,432,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
92,small,1,432-3,432,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
93,small,1,432-3,432,1,Hemiptera adult,0,0,0,0,0,0,0,0,0,0,0,0,1
94,small,1,432-3,432,1,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
95,small,1,432-3,432,1,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
96,small,1,432-3,432,1,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
97,small,1,432-3,432,1,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
98,small,1,432-3,432,1,Sap beetle,0,0,0,0,0,0,0,0,0,0,1,0,0
99,small,1,432-3,432,1,Sap beetle,0,0,0,0,0,0,1,0,0,0,0,0,0
100,small,1,432-3,432,1,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
101,small,1,432-4,432,1,Beetle misc,0,0,0,0,0,0,0,0,0,1,0,0,0
102,small,1,432-4,432,1,Sap Beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
103,small,1,432-4,432,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
104,large,1,432-4,432,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
105,large,1,432-5,432,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
106,small,1,432-5,432,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,2,0,0
107,large,1,433-1,433,2,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
108,large,1,433-1,433,2,Sap Beetle adult,0,0,0,0,0,0,0,0,0,0,2,0,0
109,small,1,433-1,433,2,Sap beetle larva,0,0,0,0,0,0,4+1,0,0,0,0,0,0
110,small,1,433-1,433,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
111,small,1,433-1,433,2,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
112,small,1,433-2,433,2,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
113,small,1,433-2,433,2,Sap beelte larva,0,0,0,0,0,0,1,0,0,0,0,0,0
114,large,1,433-2,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
115,large,1,433-2,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
116,large,1,433-2,433,2,Sap beetle larva,0,0,0,0,0,0,14,0,0,0,0,0,0
117,large,1,433-2,433,2,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
118,large,1,433-2,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
119,large,1,433-2,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
120,large,1,433-2,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
121,large,1,433-2,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
122,large,1,433-2,433,2,Sap beetle larva,0,0,0,0,0,0,8,0,0,0,0,0,0
123,large,1,433-3,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
124,large,1,433-3,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
125,large,1,433-4,433,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
126,small,1,433-4,433,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
127,small,1,433-4,433,2,Sap beelte larva,0,0,0,0,0,0,1,0,0,0,0,0,0
128,small,1,433-4,433,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
129,small,1,433-4,433,2,Rootworm adult,0,0,0,0,0,0,0,0,0,0,0,1,0
130,small,1,433-4,433,2,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
131,small,1,433-5,433,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
132,large,1,433-5,433,2,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
133,large,1,433-5,433,2,Beetle - sap,0,0,0,0,0,0,0,0,0,0,4,0,0
134,large,1,433-5,433,2,Beetle - sap,0,0,0,0,0,0,14,0,0,0,0,0,0
135,small,1,121-1,121,1,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
136,small,1,121-1,121,1,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
137,large,1,121-1,121,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
138,large,1,121-1,121,1,Sap beetle larva,0,0,0,0,0,0,16,0,0,0,0,0,0
139,0,1,121-2,121,1,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
140,0,1,121-2,121,1,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
141,0,1,121-2,121,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
142,0,1,121-2,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,2,0,0
143,0,1,121-2,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
144,0,1,121-2,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,2,0,0
145,small,1,121-2,121,1,Sap beetle larva,0,0,0,0,0,0,7,0,0,0,0,0,0
146,small,1,121-3,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
147,small,1,121-3,121,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
148,small,1,121-3,121,1,Cattail larva,0,0,0,0,0,0,0,1?,0,0,0,0,0
149,small,1,121-3,121,1,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
150,small,1,121-4,121,1,Sap beetle larva,0,0,0,0,0,0,12,0,0,0,0,0,0
151,small,1,121-4,121,1,Sap beelte larva,0,0,0,0,0,0,6,0,0,0,0,0,0
152,small,1,121-4,121,1,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
153,small,1,121-4,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
154,small,1,121-4,121,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
155,small,1,121-5,121,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
156,small,1,121-5,121,1,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
157,small,1,121-5,121,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
158,small,1,121-5,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,2,0,0
159,small,1,121-5,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
160,small,1,121-5,121,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
161,small,1,121-5,121,1,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
162,large,1,121-5,121,1,WBCW ,1,0,0,0,0,0,0,0,0,0,0,0,0
163,large,1,122-2,122,2,ECW,0,0,1,0,0,0,0,0,0,0,0,0,0
164,large,1,122-2,122,2,Sap beetle + misc,0,0,0,0,0,0,0,0,0,1,1,0,0
165,large,1,122-3,122,2,FAW,0,0,0,1,0,0,0,0,0,0,0,0,0
166,large,1,122-3,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
167,large,1,122-3,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
168,large,1,122-3,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
169,large,1,122-3,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
170,small,1,122-3,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
171,small,1,122-3,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
172,large,1,122-4,122,2,WBCW?,1,0,0,0,0,0,0,0,0,0,0,0,0
173,large,1,122-4,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
174,large,1,122-4,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
175,small,1,122-4,122,2,Sap beetle larva,0,0,0,0,0,0,8,0,0,0,0,0,0
176,small,1,122-4,122,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,3,0,0
177,small,1,122-4,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
178,large,1,122-5,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
179,large,1,122-5,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
180,large,1,122-5,122,2,FAW,0,0,0,1,0,0,0,0,0,0,0,0,0
181,large,1,122-5,122,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,2,0,0
182,large,1,122-5,122,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
183,large,1,122-5,122,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
184,large,1,122-5,122,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
185,small,1,122-5,122,2,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
186,small,1,122-5,122,2,2 misc. B + 1 Hemiptera,0,0,0,0,0,0,0,0,0,2,0,0,1
187,small,1,122-5,122,2,Sap beetle larva,0,0,0,0,0,0,16,0,0,0,0,0,0
188,small,1,122-5,122,2,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
189,large,1,124-2,124,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
190,small,1,124-2,124,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
191,small,1,124-2,124,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
192,small,1,124-2,124,3,Sap beetle larva,0,0,0,0,0,0,0,0,0,0,2,0,0
193,small,1,124-4 ,124,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
194,small,1,124-4,124,3,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
195,small,1,124-4,124,3,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
196,small,1,124-4,124,3,WBCW?,1,0,0,0,0,0,0,0,0,0,0,0,0
197,large,1,124-4,124,3,WBCW?,1,0,0,0,0,0,0,0,0,0,0,0,0
198,large,1,124-5,124,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
199,small,1,124-5,124,3,Sap beetle adult,0,0,0,0,0,0,1,0,0,0,0,0,0
200,small,1,124-5,124,3,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,1,0,0
201,small,1,124-5,124,3,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
202,small,1,124-5,124,3,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
203,small,1,124-5,124,3,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
204,small,1,124-5,124,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
205,small,1,124-5,124,3,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,3,0,0
206,small,1,124-5,124,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
207,large,1,221-1,221,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
208,large,1,221-1,221,1,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
209,large,1,221-1,221,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
210,large,1,221-2,221,1,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
211,large,1,221-2,221,1,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
212,large,1,221-2,221,1,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
213,large,1,221-3,221,1,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
214,large,1,221-3,221,1,Sap beetle larva,0,0,0,0,0,0,2,0,0,0,0,0,0
215,large,1,221-3,221,1,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
216,large,1,221-5,221,1,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
217,large,1,222-1,222,3,?,0,0,0,0,0,0,0,0,1,0,0,0,0
218,small,1,222-1,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
219,small,1,222-1,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
220,small,1,222-1,222,3,Sap beetle larva,0,0,0,0,0,0,4,0,0,0,0,0,0
221,large,1,222-2,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
222,large,1,222-2,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
223,large,1,222-2,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
224,large,1,222-2,222,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
225,large,1,222-3,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
226,large,1,222-3,222,3,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
227,large,1,222-3,222,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
228,large,1,222-3,222,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
229,large,1,222-3,222,3,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
230,large,1,222-3,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
231,large,1,222-3,222,3,Sap beetle larva,0,0,0,0,0,0,2,0,0,0,0,0,0
232,large,1,222-3,222,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
233,large,1,222-3,222,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
234,large,1,222-3,222,3,Sap beetle larva,0,0,0,0,0,0,8,0,0,0,0,0,0
235,small,1,222-3,222,3,Sap beetle larva,0,0,0,0,0,0,3,0,0,0,0,0,0
236,small,1,222-3,222,3,ECB + SB larva,0,0,1,0,0,0,2,0,0,0,0,0,0
237,large,1,222-4,222,3,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
238,large,1,222-4,222,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
239,large,1,222-5,222,3,ECB ,0,0,1,0,0,0,0,0,0,0,0,0,0
240,large,1,222-5,222,3,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
241,large,1,222-5,222,3,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
242,large,1,224-1,224,2,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
243,large,1,224-2,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
244,large,1,224-2 ,224,2,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
245,large,1,204-3,224,2,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
246,large,1,204-3,224,2,FAW,0,0,0,1,0,0,0,0,0,0,0,0,0
247,large,1,204-3,224,2,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
248,large,1,204-3,224,2,ECB,0,0,1,0,0,0,0,0,0,0,0,0,0
249,large,1,224-4,224,2,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
250,large,1,224-4,224,2,Canth larva ,0,0,0,0,0,1,0,0,0,0,0,0,0
251,large,1,224-4,224,2,CEB,0,1,0,0,0,0,0,0,0,0,0,0,0
252,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
253,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
254,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
255,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
256,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
257,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
258,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
259,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
260,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
261,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
262,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
263,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
264,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
265,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
266,large,1,224-5,224,2,Sap beetle larva,0,0,0,0,0,0,3,0,0,0,0,0,0
267,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
268,large,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
269,small,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
270,small,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
271,small,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
272,small,1,224-5,224,2,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
273,small,1,224-5,224,2,minute pirate,0,0,0,0,0,0,0,0,0,0,1,0,0
274,small,1,224-5,224,2,Sap beetle adult,0,0,0,0,0,0,0,0,0,0,3,0,0
275,small,1,224-5,224,2,Sap beetle larva,0,0,0,0,0,0,18,0,0,0,0,0,0
